Job Title,Job Salary,Key Skills,Role Category,Functional Area,Industry,Role
Crew Member QSR,Not Disclosed by Recruiter,crew_member steward restaurant shift_manager barista qsr bar hotel waiter restaurant_management,Food_&_Beverage,Hotels Restaurants,Travel Hotels Restaurants Airlines Railways,Steward
Chief Financial Officer CFO,"10,00,000-20,00,000",chief_financial_officer investment_banking investment equity corporate_finance broking pms mutual_funds finance,Senior_Management,Financial_Services Banking Investments Insurance,Banking Financial_Services Broking,Head/VP/GM-CFO/Financial Controller
Lead Developer java Technologies A fast Growing AI Firm ,"12,00,000-22,00,000",rest lead_developer junit maven project_lead tech_lead ajax javascript spring d3.js vaadin java project_manager mysql,Programming_&_Design,IT_Software,IT-Software Software_Services,Team Lead/Technical Lead
Technical Lead ethernet ,"5,00,000-14,00,000",c qnx c++ rtos linux embedded_systems product_marketing software_development_methodologies layer_2 technical_design ethernet,Programming_&_Design,IT_Software,IT-Software Software_Services,Team Lead/Technical Lead
Cfo finances female Only wanawadi pune cpi mn ,Not Disclosed by Recruiter,project_finance mis_reporting mis_preparation real_estate report_preparation chief_financial_officer financial_planning,Senior_Management,Financial_Services Banking Investments Insurance,Real_Estate Property,Head/VP/GM-CFO/Financial Controller
Product Specialist Senior Product Specialist,Not Disclosed by Recruiter,geometry automation vhdl asic static_timing_analysis analytical soc hardware_design verilog product_marketing,Engineering_Design,Engineering_Design R&D,Electricals Switchgears,Technical Lead/Project Lead
Assistant Professor Economics,"6,00,000-16,00,000",economics professor professor_activities lecturer_activities phd faculty_activities associate_professor,University_Level,Teaching Education Training Counselling,Education Teaching Training,Assistant Professor
Job Opening for Executive Assistant Administration Support Mumbai,"6,00,000-9,00,000",office_administration expenses mis_reporting,Administration Facility_Management,HR Recruitment Administration IR,Strategy Management_Consulting_Firms,Executive/ Sr Executive - Administration
Principal Software Engineer,Not Disclosed by Recruiter,computer_science soa coding analytical healthcare research microsoft cosmos analytics,Programming_&_Design,IT_Software,IT-Software Software_Services,Software Developer
SAP FICO Consultant,Not Disclosed by Recruiter,sap_fico it_services,Programming_&_Design,IT_Software,IT-Software Software_Services,Software Developer
Test Engineer Mobile Testing Selenium Appium,Not Disclosed by Recruiter,sql jenkins windows_mobile application_testing java net wlan scripting python,Programming_&_Design,IT_Software,IT-Software Software_Services,Testing Engineer
